【販売スケジュール】,,,2022年4月,,,
,,,八草キャンパス,,自由ヶ丘キャンパス,
,,1号館前,セントラルガーデン,セントラルガーデン,本館2階駐輪場前,
1,金,,,,,
2,土,,,,,
3,日,,,,,
4,月,,,,,
5,火,,,,,
6,水,,,,,
7,木,,,,,
8,金,,,,,
9,土,,,,,
10,日,,,,,
11,月,チキン王国（からあげ）,クイーンズカフェ（ケバブ）,Deli di compagne(丼）,,
12,火,あげものHouseゆみちゃん（からあげ、,白雪姫（たこ焼き）,金鯱からあげ（からあげ）,,
13,水,ポポ（メロンパン）,ブラザー69（バーガー）,Take Eat EZY（丼）,諭吉のからあげ（からあげ）,
14,木,サニーズ（クレープ）,熊猫飯店（中華ホットロール）,,,
15,金,金鯱からあげ（からあげ）,ヘヴンズカフェ(ケバブ）,,,
16,土,,,,,
17,日,,,,,
18,月,Take Eat EZY（丼）,錦(焼き芋),,,
19,火,Deli di compagne(丼）,金鯱からあげ（からあげ）,,,
20,水,リトル・リトリート（カフェ）,サニーズ（クレープ）,,Take Eat EZY（丼）,
21,木,粉もの本舗 kurukurku（たこ焼き）,チキン王国（からあげ）,,,
22,金,金鯱からあげ（からあげ）,クイーンズカフェ（ケバブ）,,,
23,土,,,,,
24,日,,,,,
25,月,クイーンズカフェ（ケバブ）,熊猫飯店（中華ホットロール）,,,
26,火,サニーズ（クレープ）,金鯱からあげ（からあげ）,,,
27,水,からあげ178（からあげ丼）,パインリーフ（クレープ）,,miu crepe cafe（クレープ）,
28,木,ベイサデケバブ（ケバブ）,miu crepe cafe（クレープ）,,,
29,金,,,,,
30,土,,,,,
