【販売スケジュール】,,,,2023年10月
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1,日,,,
2,月,ヘヴンズカフェ(ケバブ）,いしいも(焼き芋）,
3,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,
4,水,バターの森２号車（クロワッサン）,サニーズ（クレープ）,シーハウス2号車（韓国料理）
5,木,,,
6,金,,,
7,土,,,
8,日,,,
9,月,,,
10,火,miu crepe cafe（クレープ）,金しゃち（唐揚げ）,
11,水,YAMA BAL（ホットサンド）,クイーンズカフェ（ケバブ）,Shinobu kitchen car company （丼）
12,木,バターの森２号車（クロワッサン）,パインリーフ（クレープ）,
13,金,金しゃち（唐揚げ）,アルス（インドカレー）,
14,土,,,
15,日,,,
16,月,まんぷくデイズ（揚げパン）,ヘヴンズカフェ(ケバブ）,
17,火,サニーズ（クレープ）,金しゃち（唐揚げ）,
18,水,Sho-fuku Kitchen（ベビーカステラ）,キッチンカーナ（たこ焼き）,カッパドキア（ケバブ）
19,木,シーハウス（韓国料理）,Rkwalk（幸せの黄金鯛焼き）,
20,金,金しゃち（唐揚げ）,いしいも(焼き芋）,
21,土,,,
22,日,,,
23,月,アルス（インドカレー）,Sho-fuku Kitchen（ベビーカステラ）,
24,火,ちゃ銀（台湾餃子）,金しゃち（唐揚げ）,
25,水,諭吉のからあげ（からあげ）,サニーズ（クレープ）,MYきっちん（揚げパン）
26,木,シーハウス2号車（韓国料理）,ブラザー69（バーガー）,
27,金,金しゃち（唐揚げ）,あげものHouseゆみちゃん（からあげ、丼）,
28,土,,,
29,日,,,
30,月,YAMA BAL（ホットサンド）,熊猫厨房（中華ホットロール）,
31,火,サニーズ（クレープ）,金しゃち（唐揚げ）,
