【キッチンカー出店予定】                                                     2024年5月,,,,,
,,八草キャンパス,,自由ヶ丘キャンパス,
,,1号館前,セントラルガーデン,本館玄関脇,
1,(水),,,,
2,(木),,,,
3,(金),,,,
4,(土),,,,
5,(日),,,,
6,(月),サニーズ（クレープ）,アルス（インドカレー）,,
7,(火),ヘヴンズカフェ（ケバブ）,金しゃち（唐揚げ）,,
8,(水),諭吉のからあげ（からあげ）,che'rie（からあげ）,ディレクティーズ（ホットドック）,
9,(木),ハニーエイト（ハニーポテト）,クイーンズカフェ（ケバブ）,,
10,(金),金しゃち（唐揚げ）,縁月（ホットドック）,,
11,(土),,,,
12,(日),,,,
13,(月),ポポ（メロンパン）,UNO express（タコス）,,
14,(火),Café de Bossa（クレープ）,金しゃち（唐揚げ）,,
15,(水),クイーンズカフェ（ケバブ）,レスト（フルーツジュース）,ハニーエイト（ハニーポテト）,
16,(木),ブラザー69（バーガー）,サニーズ（クレープ）,,
17,(金),金しゃち（唐揚げ）,縁月（ホットドック）,,
18,(土),,,,
19,(日),,,,
20,(月),cooking smile sweets（パフェ）,ディレクティーズ（ホットドック）,,
21,(火),カッパドキア（ケバブ）,金しゃち（唐揚げ）,,
22,(水),Take Eat EZY（丼）,miu crepe café（クレープ）,カッパドキア（ケバブ）,
23,(木),たこ焼きセブン（たこ焼き）,からあげ178（からあげ丼）,,
24,(金),金しゃち（唐揚げ）,Sho-fuku Kitchen（ベビーカステラ）,,
25,(土),,,,
26,(日),,,,
27,(月),クッピーラムネカフェ（スムージー）,バターの森２号車（クロワッサン）,,
28,(火),縁月（クレープ）,金しゃち（唐揚げ）,,
29,(水),パインリーフ（クレープ）,Take Eat EZY（丼）,シーハウス（韓国料理）,
30,(木),CAFE＆SAKEダイニングあらし（弁当）,ハニーエイト（ハニーポテト）,,
31,(金),金しゃち（唐揚げ）,ブラザー69（バーガー）,,
