Unnamed: 0,八草キャンパス,自由ヶ丘キャンパス,Unnamed: 1,Unnamed: 2
,1号館前,セントラルガーデン,本館玄関脇,
1,(月),che'rie(ホットドック),ポポ(メロンパン),
2,(火),Take Eat EZY(丼),金しゃち(唐揚げ),
3,(水),パインリーフ(クレープ),ブラザー69(バーガー),ハニーエイト(ハニーポテト)
4,(木),粉もの本舗 kurukurku(たこ焼き),ピースカフェ(クロワッサンサンド,
5,(金),金しゃち(唐揚げ),サニーズ(クレープ),
6,(土),,,
7,(日),,,
8,(月),バターの森2号車(クロワッサン),UNO express(タコス),
9,(火),CAFE&SAKEダイニングあらし(弁当),金しゃち(唐揚げ),
10,(水),クレープショップSARU(クレープ),本格インドカレーカリー工房(カレー),キッチンカーナ(たこ焼き)
11,(木),ハニーエイト(ハニーポテト),たこ焼きセブン(たこ焼き),
12,(金),金しゃち(唐揚げ),本格インドカレーカリー工房(カレー),
13,(土),,,
14,(日),,,
15,(月),ポポ(メロンパン),出店なし,
16,(火),シーハウス(韓国料理),金しゃち(唐揚げ),
17,(水),ハニーエイト(ハニーポテト),Take Eat EZY(丼),ブラザー69(バーガー)
18,(木),CAFE&SAKEダイニングあらし(弁当),バターの森2号車(クロワッサン),
19,(金),金しゃち(唐揚げ),cooking smile sweets(パフェ),
20,(土),,,
21,(日),,,
22,(月),che'rie(ホットドック),アルス(インドカレー),
23,(火),キッチンカーナ(たこ焼き),金しゃち(唐揚げ),
24,(水),miu crepe cafe(クレープ),本格インドカレーカリー工房(カレー),諭吉のからあげ(からあげ)
25,(木),からあげ178(からあげ丼),シーハウス(韓国料理),
26,(金),金しゃち(唐揚げ),ディレクティーズ(ホットドック),
27,(土),,,
28,(日),,,
29,(月),出店なし,出店なし,
30,(火),ポポ(メロンパン),金しゃち(唐揚げ),
31,(水),ブラザー69(バーガー),出店なし,出店なし
